demand,phase,variant,before,after,facility,delta,relative,se,upper95,lower95,seven_day_extra_income,facility_price,seven_day_net
flat,0,baseline,32,48,12005,594.525,0.03776433326178491,74.41262498964701,740.3737449797081,448.6762550202918,33293.4,176000,-142706.6
flat,0,baseline,33,35,12002,-2235.43125,-0.17103602683829455,71.85266288636103,-2094.6000307427325,-2376.2624692572676,-125184.15000000001,39000,-164184.15000000002
flat,0,baseline,33,37,12003,-2255.2375,-0.17255143121790406,72.285256242651,-2113.558397764404,-2396.916602235596,-126293.30000000002,46000,-172293.30000000002
flat,0,baseline,33,41,12004,-1094.7125,-0.0837580115828731,60.98805131539292,-975.1759194218299,-1214.2490805781702,-61303.90000000001,42000,-103303.90000000001
flat,0,baseline,33,49,12005,1059.2104166666666,0.08104169665356568,69.70461021232266,1195.831452682819,922.5893806505142,59315.783333333326,176000,-116684.21666666667
flat,0,baseline,34,35,12001,-1701.8625,-0.13575395598807471,61.54592100287803,-1581.232494834359,-1822.492505165641,-95304.3,18000,-113304.3
flat,0,baseline,34,38,12003,-2178.235416666667,-0.17375321148790354,70.46444506262512,-2040.1251043439217,-2316.3457289894122,-121981.18333333335,46000,-167981.18333333335
flat,0,baseline,34,42,12004,-1038.9291666666666,-0.08287317240164455,58.70538993117699,-923.8666024015597,-1153.9917309317734,-58180.033333333326,42000,-100180.03333333333
flat,0,baseline,34,50,12005,1069.1,0.08527983567817651,68.882483932805,1204.1096685082978,934.090331491702,59869.59999999999,176000,-116130.40000000001
flat,0,baseline,35,39,12003,-1559.0666666666666,-0.1438981833900387,62.707568263013115,-1436.159832871161,-1681.9735004621723,-87307.73333333334,46000,-133307.73333333334
flat,0,baseline,35,43,12004,-689.9166666666666,-0.06367768431359203,51.49033341247058,-588.9956131782243,-790.837720155109,-38635.33333333333,42000,-80635.33333333333
flat,0,baseline,35,51,12005,1293.64375,0.11940027297028824,64.4459234380859,1419.9577599386482,1167.3297400613517,72444.05,176000,-103555.95
flat,0,baseline,36,37,12001,-1607.5479166666667,-0.12940871238815016,57.40655900325644,-1495.0310610202841,-1720.0647723130492,-90022.68333333333,18000,-108022.68333333333
flat,0,baseline,36,38,12002,-2064.1145833333335,-0.16616264291806943,66.33953267761751,-1934.0890992852032,-2194.1400673814637,-115590.41666666667,39000,-154590.4166666667
flat,0,baseline,36,44,12004,-1018.9333333333333,-0.0820248337912369,55.1506212350268,-910.8381157126807,-1127.0285509539858,-57060.26666666666,42000,-99060.26666666666
flat,0,baseline,36,52,12005,881.4,0.07095330591166861,64.68000383614083,1008.172807518836,754.627192481164,49358.4,176000,-126641.6
flat,0,baseline,37,39,12002,-1539.2604166666667,-0.14233030293048105,59.959811002679494,-1421.739187101415,-1656.7816462319186,-86198.58333333334,39000,-125198.58333333334
flat,0,baseline,37,45,12004,-758.68125,-0.07015273762058956,49.95745952743763,-660.7646293262222,-856.5978706737777,-42486.15,42000,-84486.15
